jlpt ,Vocab-expression,Vocab-kana,one (thing),Vocab-sound-local,Vocab-pos,Sentence-expression,Sentence-kana,,Sentence-sound-local,Sentence-image-local,Vocab-furigana,Sentence-furigana
JLPT2,少しも,すこしも,peace of mind - relief,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adverb,あなたは<b>少しも</b>悪くない。,あなた は <b>すこしも</b> わるく ない,Its not your fault at all.,[sound:7ca56027f8eb79206c0a559674cc6352.mp3],"<img src=""7bc31f27a84e0bc566b06aaf7653b03b.jpg"" />",少[すこ]しも,あなたは<b> 少[すこ]しも</b> 悪[わる]くない。
JLPT3,安心,あんしん,handbag,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verbal Noun,それを聞いて<b>安心</b>しました。,それ を きいて <b>あんしん</b> しました,I was relieved to hear that.,[sound:9bb88fb180c9460c17b9a7e4387fbe34.mp3],"<img src=""011bf1b6c886ad05549d5df0157ce689.jpg"" />",安心[あんしん],それを 聞[き]いて<b> 安心[あんしん]</b>しました。
JLPT2,ハンドバッグ,ハンドバッグ,lighter,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>ハンドバッグ</b>を忘れました。,<b>はんどばっぐ</b> を わすれました,I forgot my handbag.,[sound:348d84884666822d3b4b050bab65f75a.mp3],"<img src=""bda5f40f7961bd8c8a2951c96c486133.jpg"" />",ハンドバッグ,<b>ハンドバッグ</b>を 忘[わす]れました。
JLPT2,ライター,ライター,thought - view - idea,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,店に<b>ライター</b>を忘れました。,みせ に <b>らいたー</b> を わすれました,I forgot my lighter at the shop.,[sound:3bbd2c6e068fa34138ea16e19acfdbe1.mp3],"<img src=""39a4fc71c9df4c1a482081ca7f0c6655.jpg"" />",ライター,店[みせ]に<b>ライター</b>を 忘[わす]れました。
JLPT2,考え,かんがえ,solution - settlement,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,それは良い<b>考え</b>です。,それ は いい <b>かんがえ</b> です,Thats a good idea.,[sound:4cee594600cdfd2e12acaf4ecbf3e74b.mp3],"<img src=""a8e8d621dbe186fc8db0f2e7816aff98.jpg"">",考[かんが]え,それは 良[い]い<b> 考[かんが]え</b>です。
JLPT2,解決,かいけつ,in short - basically,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verbal Noun,トラブルがやっと<b>解決</b>した。,とらぶる が やっと <b>かいけつ</b> した,The problem has finally been solved.,[sound:f6823e155258108fb077bf36eb0de474.mp3],"<img src=""a43a61773e7b049de6f9491a13f4daa8.jpg"" />",解決[かいけつ],トラブルがやっと<b> 解決[かいけつ]</b>した。
JLPT2,つまり,つまり,girl - daughter,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adverb,<b>つまり</b>、あなたは何も知らないのですね。,<b>つまり</b> あなた は なに も しらない の です ね,So - basically - you dont know anything.,[sound:966c1b74df423f99acc8bd78f8f24a50.mp3],"<img src=""afb33fcb62a81eef3d48ba455d903b85.jpg"" />",つまり,<b>つまり</b>、あなたは 何[なに]も 知[し]らないのですね。
JLPT4,女の子,おんなのこ,possible - potential,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,あの<b>女の子</b>を知っていますか。,あの <b>おんなのこ</b> を しって います か,Do you know that girl?,[sound:338d27f8f91a23a82c91868016f779e3.mp3],"<img src=""e2be66d49c4fb3eec1b41e5a9ecb6c6a.jpg"" />",女[おんな]の 子[こ],あの<b> 女[おんな]の 子[こ]</b>を 知[し]っていますか。
JLPT2,可能,かのう,inconvenient,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adjectival Noun,20キロのダイエットは<b>可能</b>だと思いますか。,にじゅっきろ の だいえっと は <b>かのう</b> だ と おもいます か,Do you think its possible to go on a twenty kilogram diet?,[sound:edba648abf76983a9375e0c9f33cb41f.mp3],"<img src=""d0b6450a8b06c6d9ecbab340aeaa7ca6.jpg"" />",可能[かのう],20[にじゅっ]キロのダイエットは<b> 可能[かのう]</b>だと 思[おも]いますか。
JLPT3,不便,ふべん,mailman,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adjectival Noun,私の家は駅から遠くて<b>不便</b>です。,わたし の いえ は えき から とおく て <b>ふべん</b> です,My house is inconveniently located far from the station.,[sound:e54a9cb515836fd2b90381cf45c2c983.mp3],"<img src=""d50b7d70f01b05dc61b249d1c02dcc8c.jpg"" />",不便[ふべん],私[わたし]の 家[いえ]は 駅[えき]から 遠[とお]くて<b> 不便[ふべん]</b>です。
JLPT0,郵便屋さん,ゆうびんやさん,other side - there,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>郵便屋さん</b>はもう来ましたか。,<b>ゆうびんやさん</b> は もう きました か,Has the postman already come?,[sound:c240e635c41ace89a8af7da87e18262a.mp3],"<img src=""39172e80f7e958c8191f02395e8dd9f9.jpg"" />",郵便屋[ゆうびんや]さん,<b> 郵便屋[ゆうびんや]さん</b>はもう 来[き]ましたか。
JLPT2,あっち,あっち,fire,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,郵便局は<b>あっち</b>です。,ゆうびんきょく は <b>あっち</b> です,The post office is that way.,[sound:c0f380b09ad6f870e5fc333f607c8214.mp3],"<img src=""d11229c67ac96d5248163d4453d9b4a9.jpg"" />",あっち,郵便局[ゆうびんきょく]は<b>あっち</b>です。
JLPT3,火事,かじ,police box,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>火事</b>です。119番に電話してください。,<b>かじ</b> です ひゃくじゅうきゅうばん に でんわ して ください,Theres a fire. Please call 119.,[sound:77de7b0c4671fc27ecc8ec84e6bfaa1c.mp3],"<img src=""ba0a295967dba2f7e77a26b36e098206.jpg"" />",火事[かじ],<b> 火事[かじ]</b>です。 119番[ひゃくじゅうきゅうばん]に 電話[でんわ]してください。
JLPT4,交番,こうばん,number - serial number,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,あそこの<b>交番</b>で道を聞きましょう。,あそこ の <b>こうばん</b> で みち を ききましょう,Lets ask for directions at that police box.,[sound:92cf4f64ec7079373abd8860193fe315.mp3],"<img src=""c5dbd906f5e115286eff91be3ceed468.jpg"" />",交番[こうばん],あそこの<b> 交番[こうばん]</b>で 道[みち]を 聞[き]きましょう。
JLPT4,番号,ばんごう,neighborhood,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,この<b>番号</b>に電話してください。,この <b>ばんごう</b> に でんわ して ください,Please call this number.,[sound:7371684b772bc58d8f0c84416c3621e9.mp3],"<img src=""1465e8492dd71c5dfc0079336d8c80b6.jpg"" />",番号[ばんごう],この<b> 番号[ばんごう]</b>に 電話[でんわ]してください。
JLPT3,近所,きんじょ,one''s dwelling - address,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>近所</b>にカナダ人が住んでいる。,<b>きんじょ</b> に かなだじん が すんで いる,A Canadian lives in my neighborhood.,[sound:e85f019a0a2d72002085b213282d6325.mp3],"<img src=""9e0390ce532f52c4f460fae2f91d2c66.jpg"">",近所[きんじょ],<b> 近所[きんじょ]</b>にカナダ 人[じん]が 住[す]んでいる。
JLPT3,住所,じゅうしょ,wander aimlessly - hang about,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,この<b>住所</b>に行ってください。,この <b>じゅうしょ</b> に いって ください,Please go to this address.,[sound:d046434140715b6dea59405ffc6f2267.mp3],"<img src=""c86ca3a7cd12ba23f34cd1ebae0e1a14.jpg"" />",住所[じゅうしょ],この<b> 住所[じゅうしょ]</b>に 行[い]ってください。
JLPT1,ぶらぶら,ぶらぶら,lavatory - bathroom,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adverb,朝、近所を<b>ぶらぶら</b>した。,あさ きんじょ を <b>ぶらぶら</b> した,I wandered around the neighborhood this morning.,[sound:de1838bc3abf3e024b1513ad16cdbdec.mp3],"<img src=""0533a2eadfae6003994428b4160c236d.jpg"" />",ぶらぶら,朝[あさ]、 近所[きんじょ]を<b>ぶらぶら</b>した。
JLPT2,便所,べんじょ,ballpoint pen,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>便所</b>はそこです。,<b>べんじょ</b> は そこ です,The bathroom is there.,[sound:0d150f632dcaf26fbdf2751c880ff616.mp3],"<img src=""9739513dc18a0ddaac8bc6068405ac0d.jpg"" />",便所[べんじょ],<b> 便所[べんじょ]</b>はそこです。
JLPT4,ボールペン,ボールペン,surname - family name,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>ボールペン</b>で名前を書いてください。,<b>ぼーるぺん</b> で なまえ を かいて ください,Please write your name with a ballpoint pen.,[sound:9ec132ab9ff809bb052e69c6475534b8.mp3],"<img src=""497bd04819ebd9592748d4624a3cdacb.jpg"" />",ボールペン,<b>ボールペン</b>で 名前[なまえ]を 書[か]いてください。
JLPT2,名字,みょうじ,Roman alphabet,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,あなたの<b>名字</b>は何ですか。,あなた の <b>みょうじ</b> は なん です か,Whats your surname?,[sound:19281cf46bbce5df7861a28630a085dd.mp3],"<img src=""bde30185b5eb37be43e23c73bffb81f2.jpg"" />",名字[みょうじ],あなたの<b> 名字[みょうじ]</b>は 何[なん]ですか。
JLPT0,ローマ字,ろーまじ,name,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>ローマ字</b>で名前を書いてください。,<b>ろーまじ</b> で なまえ を かいて ください,Please write your name using Roman letters.,[sound:ec93f5fa6456144da30cc99572ea63e6.mp3],"<img src=""dc732a29af1965eada1b7bf1e0253984.jpg"" />",ローマ 字[じ],<b>ローマ 字[じ]</b>で 名前[なまえ]を 書[か]いてください。
JLPT2,氏名,しめい,foreigner - alien,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,ここに住所と<b>氏名</b>を書いてください。,ここ に じゅうしょ と <b>しめい</b> を かいて ください,Please write your name and address here.,[sound:230f243eeae04c5634dc0766afdb89ee.mp3],"<img src=""a94f78c7db94ec1a6c125247995257c0.jpg"" />",氏名[しめい],ここに 住所[じゅうしょ]と<b> 氏名[しめい]</b>を 書[か]いてください。
JLPT0,外人,がいじん,south,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,この町には<b>外人</b>が少ない。,この まち に は <b>がいじん</b> が すくない,There are few foreigners in this town.,[sound:558dc7a1bc994956d2c3bb8d1e21e6c8.mp3],"<img src=""a5cd36397878d825dda073044d79f05a.jpg"" />",外人[がいじん],この 町[まち]には<b> 外人[がいじん]</b>が 少[すく]ない。
JLPT4,南,みなみ,for the first time,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,私の家は町の<b>南</b>にあります。,わたし の いえ は まち の <b>みなみ</b> に あります,My house is in the south of the town.,[sound:4a4cc3b290a90510479aac06a1674821.mp3],"<img src=""6f9eac752cd1d3fdc8504f2ece5db03c.jpg"" />",南[みなみ],私[わたし]の 家[いえ]は 町[まち]の<b> 南[みなみ]</b>にあります。
JLPT4,初めて,はじめて,water service - channel,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adverb,東京に来るのは<b>初めて</b>です。,とうきょう に くる の は <b>はじめて</b> です 。,Its the first time Ive been to Tokyo.,[sound:7aa0e218d6e6791e41b4b56dcbb24f71.mp3],"<img src=""22edce82f69793ccc90fc2113e159f07.jpg"" />",初[はじ]めて,東京[とうきょう]に 来[く]るのは<b> 初[はじ]めて</b>です。
JLPT3,水道,すいどう,cities - urban community,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,東京は<b>水道</b>の水が不味い。,とうきょう は <b>すいどう</b> の みず が まずい,Tap water in Tokyo doesnt taste good.,[sound:3f49d4fec50d7fe11f422becd98136f5.mp3],"<img src=""7c02deedbbf595844abf053f628cf1aa.jpg"" />",水道[すいどう],東京[とうきょう]は<b> 水道[すいどう]</b>の 水[みず]が 不味[まず]い。
JLPT2,都市,とし,circumstances,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,東京は日本一大きな<b>都市</b>です。,とうきょう は にほんいち おおき な <b>とし</b> です,Tokyo is the largest city in Japan.,[sound:febd9798b59949e3a5dce5d32634e3d4.mp3],"<img src=""d1d3174ade260866c1af1f4dcd3debd7.jpg"">",都市[とし],東京[とうきょう]は 日本一大[にほんいち おお]きな<b> 都市[とし]</b>です。
JLPT3,都合,つごう,breakfast,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,今日は<b>都合</b>が悪くて行けません。,きょう は <b>つごう</b> が わるくて いけません,I cant go today because its not convenient for me.,[sound:006dceeb4f72b1d64fa48268a4b503a4.mp3],"<img src=""4f26a4aff18c10fa708cde3a52bba91c.jpg"" />",都合[つごう],今日[きょう]は<b> 都合[つごう]</b>が 悪[わる]くて 行[い]けません。
JLPT4,朝御飯,あさごはん,anxiety - worry - good offices,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,七時に<b>朝御飯</b>を食べました。,しちじ に <b>あさごはん</b> を たべました,I ate breakfast at seven oclock.,[sound:85bc8abec33657a8ba3f7434d7756fbc.mp3],"<img src=""d8e8505043d6eef60c3e34df47aabfef.jpg"" />",朝御飯[あさごはん],七時[しちじ]に<b> 朝御飯[あさごはん]</b>を 食[た]べました。
JLPT3,心配,しんぱい,seeing someone off,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verbal Noun,明日のプレゼンテーションが<b>心配</b>だ。,あす の ぷれぜんてーしょん が <b>しんぱい</b> だ,Im worried about tomorrows presentation.,[sound:ff259ced05c77e9ae7d4387a881ad86e.mp3],"<img src=""5627a19c88e7edff70093c34e3eb99b5.jpg"" />",心配[しんぱい],明日[あす]のプレゼンテーションが<b> 心配[しんぱい]</b>だ。
JLPT2,見送り,みおくり,course - route,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verbal Noun,駅に友人の<b>見送り</b>に行きました。,えき に ゆうじん の <b>みおくり</b> に いきました,I went to the station to see off a friend.,[sound:3c1da67fccbcc0ace32d8ec5a56de7f7.mp3],"<img src=""682d04e8607e40cbf2141c1fe1b5c95d.jpg"" />",見送[みおく]り,駅[えき]に 友人[ゆうじん]の<b> 見送[みおく]り</b>に 行[い]きました。
JLPT2,コース,コース,memorandum - memo pad,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,私は日本語<b>コース</b>を取っています。,わたし は にほんご <b>こーす</b> を とって います,Im taking a Japanese course.,[sound:1979234fe8e3fca6abb7769a275c25e0.mp3],"<img src=""780e876ed84a00ed96321788f83b25d3.jpg"" />",コース,私[わたし]は 日本語[にほんご]<b>コース</b>を 取[と]っています。
JLPT2,メモ,メモ,come off - be removed,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>メモ</b>を取ってください。,<b>めも</b> を とって ください,Please take notes.,[sound:d7a3e18f6cbbd506a2fc03380fbf1ea5.mp3],"<img src=""5d2e4e46c2de9e7341f1b275bdefaf84.jpg"" />",メモ,<b>メモ</b>を 取[と]ってください。
JLPT2,取れる,とれる,tissue,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,シャツのボタンが<b>取れた</b>。,しゃつ の ぼたん が <b>とれた</b>,My shirt button came off.,[sound:8c0a74b0e827a8990632647149f9a0b4.mp3],"<img src=""de16eac88b1dfd3913d0bcbb910acfef.jpg"" />",取[と]れる,シャツのボタンが<b> 取[と]れた</b>。
JLPT0,ティッシュ,ティッシュ,about when - about what time,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>ティッシュ</b>を取ってください。,<b>てぃっしゅ</b> を とって ください,Please pass me the tissues.,[sound:d751a444d40f8f44b11a607c659024d4.mp3],"<img src=""6616cf12fd7c719a88aab08d5571f149.jpg"" />",ティッシュ,<b>ティッシュ</b>を 取[と]ってください。
JLPT0,いつごろ,いつごろ,write down - note down,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>いつごろ</b>夏休みを取りますか。,<b>いつごろ</b> なつやすみ を とります か,About when are you going on summer vacation?,[sound:aa837edfa3875ccf2e72099232d98fb7.mp3],"<img src=""c37506fe932e89e68cf2afc7b1f9085b.jpg"" />",いつごろ,<b>いつごろ</b> 夏休[なつやす]みを 取[と]りますか。
JLPT1,書き取る,かきとる,not at all - hardly,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,話しのポイントを<b>書き取った</b>。,はなし の ぽいんと を <b>かきとった</b>,I wrote down the main points of what was said.,[sound:5556cb29617dc744c54c1d524e5c86e5.mp3],"<img src=""05a9d232b322fa3da7df0f1cab98029e.jpg"" />",書[か]き 取[と]る,話[はな]しのポイントを<b> 書[か]き 取[と]った</b>。
JLPT3,なかなか,なかなか,mail service - postal matter,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adverb,荷物が<b>なかなか</b>届きません。,にもつ が <b>なかなか</b> とどきません,The parcel still hasnt arrived.,[sound:34d0f6366173b3c998eb93757f248ec9.mp3],"<img src=""03ef4c1e92210bba1447e5b1dc7d2d57.jpg"" />",なかなか,荷物[にもつ]が<b>なかなか</b> 届[とど]きません。
JLPT2,郵便,ゆうびん,like that - unchanged,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,さっき<b>郵便</b>が届きました。,さっき <b>ゆうびん</b> が とどきました,The mail has just arrived.,[sound:87104232be4e2ec7be137c816e3a57c8.mp3],"<img src=""4abd7cac238e1f2f6505a436f58248e8.jpg"" />",郵便[ゆうびん],さっき<b> 郵便[ゆうびん]</b>が 届[とど]きました。
JLPT2,そのまま,そのまま,maintain - last long,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adverb,<b>そのまま</b>お待ちください。,<b>そのまま</b> おまち ください,Please just wait a bit.,[sound:d95dc97b9be90f33e238de2ebe561ab9.mp3],"<img src=""35629ddaec26bf6b141dceb114a82e84.jpg"" />",そのまま,<b>そのまま</b>お 待[ま]ちください。
JLPT4,持つ,もつ,bag,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,この車はよく<b>持っている</b>ね。,この くるま は よく <b>もって いる</b> ね,This car has lasted a long time.,[sound:3902f0879f6c46f7fb49368dba4fa907.mp3],"<img src=""c91b7f6b0424c15d6c86823f4e8238fa.jpg"" />",持[も]つ,この 車[くるま]はよく<b> 持[も]っている</b>ね。
JLPT2,バッグ,バッグ,match - matchbox,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,私は黒い<b>バッグ</b>を持っています。,わたし は くろい <b>ばっぐ</b> を もって います,I have a black bag.,[sound:e97a8298415b4a609d33d40373fabedf.mp3],"<img src=""3aaaa82e3f761377332132c53c9a4d22.jpg"" />",バッグ,私[わたし]は 黒[くろ]い<b>バッグ</b>を 持[も]っています。
JLPT4,マッチ,マッチ,videotape,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>マッチ</b>を持っていますか。,<b>まっち</b> を もって います か,Do you have a match?,[sound:f8cd3d8791d7ec00d9635fba294c3317.mp3],"<img src=""9f94a0ada7f154e7d7a0092881cc3f86.jpg"" />",マッチ,<b>マッチ</b>を 持[も]っていますか。
JLPT0,ビデオテープ,ビデオテープ,take,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,私は<b>ビデオテープ</b>を30本持っています。,わたし は <b>びでおてーぷ</b> を さんじゅっぽん もって います,I have 30 videotapes.,[sound:8834a8d5563cf18cbf1e49cee23d48d2.mp3],"<img src=""8103a06e386f1343d5fea4ffed1c87ad.jpg"" />",ビデオテープ,私[わたし]は<b>ビデオテープ</b>を 30本持[さんじゅっぽん も]っています。
JLPT0,持って行く,もっていく,bring,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,水を<b>持って行きましょう</b>。,みず を <b>もっていきましょう</b>,Lets take some water with us.,[sound:abcc88145f1a3f8a2ed5f2ec4cdfc578.mp3],"<img src=""9ab6afd65beb80891dcaefe0df2b391d.jpg"" />",持[も]って 行[い]く,水[みず]を<b> 持[も]って 行[い]きましょう</b>。
JLPT0,持って来る,もってくる,sofa - sofa bed,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,そのいすを<b>持って来て</b>ください。,その いす を <b>もって きて</b> ください,Please bring that chair.,[sound:d62c0a901e7246634e7aa3ee9aa6093f.mp3],"<img src=""9398b7a3e73d22b7818a5c492cdbd465.jpg"" />",持[も]って 来[く]る,そのいすを<b> 持[も]って 来[き]て</b>ください。
JLPT2,ソファー,ソファー,throw - abandon,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,この<b>ソファー</b>は気持ちがいい。,この <b>そふぁー</b> は きもち が いい,This sofa is very comfortable.,[sound:a0bfa5d100e964467679392c8526e681.mp3],"<img src=""f62166c6780e12546d62470167288620.jpg"" />",ソファー,この<b>ソファー</b>は 気持[きも]ちがいい。
JLPT3,投げる,なげる,woman - female,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verb,ボールをこっちに<b>投げて</b>ください。,ぼーる を こっち に <b>なげて</b> ください,Please throw the ball over here.,[sound:c9b36c746398e9899f062b91818fa30e.mp3],"<img src=""a46406db18b122dd97370e44bec80612.jpg"" />",投[な]げる,ボールをこっちに<b> 投[な]げて</b>ください。
JLPT3,女性,じょせい,production,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,そのパーティーに<b>女性</b>は何人来ますか。,その ぱーてぃー に <b>じょせい</b> は なんにん きます か,How many women are coming to that party?,[sound:5b516867264d7b0ba379b416f925a5d7.mp3],"<img src=""4cb5992982bc0e4020797d17be4f39a3.jpg"" />",女性[じょせい],そのパーティーに<b> 女性[じょせい]</b>は 何人来[なんにん き]ますか。
JLPT2,生産,せいさん,famous,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verbal Noun,ボルドーはワインの<b>生産</b>で有名だ。,ぼるどー は わいん の <b>せいさん</b> で ゆうめい だ,Bordeau is famous for wine production.,[sound:7d6ab7e5b877ac1a4ef99fdb29b6f20e.mp3],"<img src=""0a3495a96e0c549c80a66af8d6997d04.jpg"" />",生産[せいさん],ボルドーはワインの<b> 生産[せいさん]</b>で 有名[ゆうめい]だ。
JLPT4,有名,ゆうめい,pupil - student,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Adjectival Noun,ボルドーはワインの生産で<b>有名</b>だ。,ぼるどー は わいん の せいさん で <b>ゆうめい</b> だ,Bordeau is famous for wine production.,[sound:7d6ab7e5b877ac1a4ef99fdb29b6f20e.mp3],"<img src=""bbdd2601894071555dc3e72bbe9260dd.jpg"" />",有名[ゆうめい],ボルドーはワインの 生産[せいさん]で<b> 有名[ゆうめい]</b>だ。
JLPT4,生徒,せいと,group,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,このクラスの<b>生徒</b>は30人です。,この くらす の <b>せいと</b> は さんじゅうにん です,There are 30 students in this class.,[sound:9b4143543e8a4a342a2f300e1bef18be.mp3],"<img src=""160f51418866381c4ddfbd45e7655b67.jpg"" />",生徒[せいと],このクラスの<b> 生徒[せいと]</b>は 30人[さんじゅうにん]です。
JLPT2,グループ,グループ,next month,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,店に学生の<b>グループ</b>が来た。,みせ に がくせい の <b>ぐるーぷ</b> が きた,A group of students came to the shop.,[sound:c056fe38b475bdd7a6a87fa8ae8ddd80.mp3],"<img src=""0ab6d5300f6dcd6032a8e812ba5fcc00.jpg"" />",グループ,店[みせ]に 学生[がくせい]の<b>グループ</b>が 来[き]た。
JLPT4,来月,らいげつ,observation tour - study tour - field trip,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,<b>来月</b>から大学生になります。,<b>らいげつ</b> から だいがくせい に なります,Ill be a college student beginning next month.,[sound:aad7b670eeef51d7f70f3746e45ace4e.mp3],"<img src=""1fe0389a0db8da369b62982bd455a8bd.jpg"">",来月[らいげつ],<b> 来月[らいげつ]</b>から 大学生[だいがくせい]になります。
JLPT2,見学,けんがく,attending school - going to school,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verbal Noun,今日、工場の<b>見学</b>に行きました。,きょう こうじょう の <b>けんがく</b> に いきました,We went on a field trip to a factory today.,[sound:69dcd96ff5ae61bcbe73ab72a1d0a21a.mp3],"<img src=""3e333bbbeee46f408650d8b04ae664f3.jpg"" />",見学[けんがく],今日[きょう]、 工場[こうじょう]の<b> 見学[けんがく]</b>に 行[い]きました。
JLPT2,通学,つうがく,visa,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Verbal Noun,毎朝、<b>通学</b>に1時間かかる。,まいあさ <b>つうがく</b> に いちじかん かかる,It takes me an hour to go to school every morning.,[sound:ba8365036efeb405fe193dbce0024710.mp3],"<img src=""5636da02d1598d1b301bcd0ec1cd0ec8.jpg"" />",通学[つうがく],毎朝[まいあさ]、<b> 通学[つうがく]</b>に 1時間[いちじかん]かかる。
JLPT0,ビザ,ビザ,permitted - OK,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,学生<b>ビザ</b>を持っています。,がくせい <b>びざ</b> を もって います,He has a student visa.,[sound:8503fb37f3e9593451c7e8973249f36a.mp3],"<img src=""4ced3fa4cedf505dc12a995a6f383e7d.jpg"" />",ビザ,学生[がくせい]<b>ビザ</b>を 持[も]っています。
JLPT2,可,か,elementary school,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,このアルバイトは「学生<b>可</b>」ですね。,この あるばいと は がくせい <b>か</b> です ね,So - students can apply for this part-time job - right?,[sound:160d2678d19ea790203ca5b45a1f9dd4.mp3],"<img src=""deb26efe91b4e407733c60a4c62e3c96.jpg"" />",可[か],このアルバイトは「 学生[がくせい]<b> 可[か]</b>」ですね。
JLPT3,小学校,しょうがっこう,class,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,家の近くに<b>小学校</b>があります。,いえ の ちかく に <b>しょうがっこう</b> が あります,Theres an elementary school near my house.,[sound:a0f2a86107c299277c1cc9eaa7c89f21.mp3],"<img src=""0ec991bbaa67b6161912335c3cae311a.jpg"">",小学校[しょうがっこう],家[いえ]の 近[ちか]くに<b> 小学校[しょうがっこう]</b>があります。
JLPT4,クラス,クラス,principal - schoolmaster,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,この学校は1<b>クラス</b>30人です。,この がっこう は 1 <b>くらす</b> 30 にん です 。,In this school there are 30 people per class.,[sound:9771bebc980ce56aaaa570c1c2bf90ec.mp3],"<img src=""ee55935f52051b2cca5f4595c5c19868.jpg"" />",クラス,この 学校[がっこう]は1<b>クラス</b>30 人[にん]です。
JLPT3,校長,こうちょう,temporary closure of school,sound-vocab/bdc5f88b912f85251908f1cfa5efc115.mp3,Noun,あの人は高校の<b>校長</b>だ。,あの ひと は こうこう の <b>こうちょう</b> だ,That person is a high school principal.,[sound:b11cc2854b2900ff50dd724e25728923.mp3],"<img src=""bbc15593ea4b1c98b7adb6fcc355c3e8.jpg"" />",校長[こうちょう],あの 人[ひと]は 高校[こうこう]の<b> 校長[こうちょう]</b>だ。
